question,instruction,reference_response
"hi my mother is 57 yrs old, she has a diagnose bilateral renal parenchymal disease, grade II, minimal ascites and unremarkable sonogram of the urinary bladder, what can she do  about this diagnose can you give me advice regarding this matter thank you.","If you are a doctor, please answer the medical questions based on the patient's description.",HelloThanks for query. Your mother has been detected to have grade ll kidney disease. You have not mentioned her Serum Creatinine levels and whether she is diabetic or not in your query. As regards planning her management I would suggest her 1) Have diet with fewer proteins and rich in vegetables.2) Less salt intake as for as possible avoid table salt 3) Water intake to be 3 liters /day 4) Avoid red meat and eggs 5) She can have fish 6) Monitor Serum Creatinine levels frequently7)Proper control of diabetic and blood pressure with medicines advised by your physician. If followed religiously she should have not to be worried. Chat Doctor.
"27 YO, generally healthy male, 1/2 pack a day smoker, with an interesting development. over the last week, iv been experiencing a very sharp pain in my neck. It builds from a barely noticeble dull pain to a (in about 1 to 2 seconds) Very intense sharp pain that lasts ~3 seconds before quickly dissipating. Pain is located in the left side of the neck (my left) about 1 Inch diagonally above my adams apple. Today this has occured at least 6 times.","If you are a doctor, please answer the medical questions based on the patient's description.","Hi Dear, Welcome to Chat Doctor. Understanding your concern. As per your query you have sharp neck pain. Well there can be many reasons for symptoms you mention in query like poor posture, working at a desk for too long, injury or arthritis. There are other reasons also like cervical spondylosis. I would suggest you to use cervical pillow with expert advice, apply warm compresses on neck, take proper rest and take ibuprofen or acetaminophen for print. If condition doesn't get well then consult orthopedic surgeon for proper examination. Doctor may order CT scan, or MRI to confirm the diagnosis. Doctor may prescribe muscle relaxant, anti-inflammatory along with physical therapy and stretching exercises. Hope your concern has been resolved. Get Well Soon. Best Wishes,"
"My GP doctor prescribed these meds for high blood pressure range average 153/78. I am healthy 75 years old. Your opinion on safety of all of these...Olmesartan 20mg,,amlodiline besylate 10mg,metoprolol tartrate 50mg,triamterene 37.5/HCTZ 25mg. I am concerned about tak g all these. Some are new prescriptions.","If you are a doctor, please answer the medical questions based on the patient's description.","Hello!, Would agree with you on the fact that considering your blood pressure values, there is no need to start with a lot of Chat Doctor.  For this reason, I would recommend starting just with Metoprolol and Losartan and see if your blood pressure will normalize after a week.  If after a week your blood pressure values are still high, I would recommend adding amlodipine 5\u00a0mg to your therapy and increase the dose up to 10 mg after a week, if high blood pressure values still persist.  Hope I have answered your query. Let me know if I can assist you further. Take care"
"Good morning, I have a lump under my left armpit for about a month, it started out the size of a pea with alot on pain. Than the pain stopped and it grow to the sizes of a nickel. I have been feeling naseaous for about 4 months, with headaches on the left side of my head only, and my right arm goes num. Can someone plse tell me what this could be....","If you are a doctor, please answer the medical questions based on the patient's description.","Hi, dairy have gone through your question. I can understand your concern. You have enlarged lymph node in axillary region. It can be due to reactive hyperplasia, tuberculosis, lymphoma or metastatic carcinoma. You should go for fine needle aspiration cytology or biopsy of that lump. It will give you exact diagnosis. Then you should take treatment accordingly. Hope I have answered your question, if you have doubt then I will be happy to answer. Thanks for using Chat Doctor. Wish you a very good health."
"My daughter is 4.4 years old, 21.8 KG weight. she has fever of 102.3, and my doc has prescribed Lariago 10 ml 2 times for 3 days, and Meptal-P 8 ml twice a day for next 3 days. We are in Hyderabad, India. I had malaria symptoms and undergoing treatment for the past 3 days, had high fever - 104, 184 was my sugar level, and low BP too. Since today evening my daughter who is very close with me, has been developing fever, and hence the medicines. Pls advise what would be the best way forward on my daughter s health.","If you are a doctor, please answer the medical questions based on the patient's description.","Mariano or such antimalarial should not be given without confirming the presence of malaria but since it is already being given, you need to complete the course as prescribed. Metal P contains metonymic acid and is effective in reducing fever. Viral fevers are very common and could be transmitted to your daughter. Give her metal P or paracetamol syrup to reduce the fever. You may give sponging with water at room temperature. General health and hygiene measures and proper diet is all that you and your daughter need."
"My asthma was controlled over 2-3 years ago, but then it came back recently. This week I had two asthma attacks already, and my symptoms are difficulty breathing, extreme numbness/ tingly hands and I felt lightheaded and dizzy. I never had an attack like this years before when I was first diagnosed, before it was like I had asthma but never really had an attack, i just took medications to control and maintain. But now its a different story... Ive notice even just carrying my bag makes me want to catch my breath. My doctor prescribed me to take sertide (salmeterol + fluticasone) and asmalin/ventolin (albuterol/ salbutamol)... But I think the dose is low because my asthma isnt controlled.. I took prednisone 20mg when I had an attack and it got better really fast, however with seretide, not so much, even with my asmalin/ ventolin.. whats really wrong with me?? is this asthma? or what is this?","If you are a doctor, please answer the medical questions based on the patient's description.","Hi and welcome in Chat Doctor. I have gone through your concern. According to the history your asthma is not well controlled. You have had several attacks in a short period. In this situation the treatment should be one step up. It means aerosols with corticosteroids + long acting bronchodilators, corticosteroids orally for a maximum of two weeks and after that to switch in Sere tide again twice per day and Ventolin for the urgency. If you have allergic asthma you can try montelukast for approximately 2 months, but please consult with your doctor for the treatment. I wish you a fast recovery."
"I am a 59 year old, white female.  I have been diagnosed with lupus, thalessemia minor, and I have a stent in my LAD.  My blood pressure is low to normal and my cholesteriol is normal.  Ive been feeling tired.  My doctor recently took blood and the results are generally normal except I have elevated Leukocyte esterase 1+ and WBC of 6-10.  My Creatinine is 1.13 and eGFR Non-Afr American is 53.  My Ferritin count is 342.  In addition, my Hemoglobin is 10.2, Hematocrit is 32.7, MCV is 71.6. MCH is 22.5, MCHC 31.4 and RDW is 17.1.  Some of these results are because of my diagnosed problems.  But I am concerned about what Ive read about these other tests are they indicators of some kidney disorder?","If you are a doctor, please answer the medical questions based on the patient's description.","Hello madam, You have been diagnosed with lupus and thalassemia minor. Lupus can affect kidneys and since you have an active urine sediment i.e. 6 WBC in urine, it is better to undergo a renal biopsy and stage your disease and accordingly take the treatment. The outcome of lupus kidney disease would depend on biopsy findings.Also, you have mild anemia which may be due to thalassemia. Kindly get a serum ferritin and transferring saturation i.e. Iron studies to guide your anemia management. Hope I was of help. Further, queries, please get back to me."
Yes PLEASE  My husband had rotar cuff surgery Thurs.  & was prescribed oxycodone/acetaminophen 10-325 mg tb(generic for percacet) & oxicotin 10mg contorlled rel tabs mfg purdue & to take aleeve in between.  He still is in bad pain & has yet to sleep longer than 10-15 minutes at a time.  What can he do to relieve this pain & rest?,"If you are a doctor, please answer the medical questions based on the patient's description.","Hi Welcome to Chat Doctor I have gone through your query regarding pain and sleeplessness post rotator cuff surgery . Dear, Though it is a matter of concern , but it takes time to heal and recover after injury or surgery. After an injury or surgery, an exercise conditioning program will help you return to daily activity enjoy more active, healthy lifestyle. Strengthening the muscle that support your shoulder will help keep your shoulder joint stable. Keeping these muscle strong can relieve pain and prevent further injury. Stretching the muscle that you strengthen is important for range of motion and can help reduce muscle soreness and keep it strong and flexible . To ensure your exercises are safe, perform under your doctors' guidance For instant relief from pain & sleeplessness administer him with Homeopathic Chamomile 30 4 Chat Doctor.  Take in the morning, all 3 doses at 20 minutes interval.  Repeat for 2 days or more if required 2.  Arica. 30 /4 pills /thrice /4 hourly .for a week. A level teaspoon of turmeric powder with a cup of hot milk at bedtime and in BF will help in relieving pain and inflammation. Intake of nutritious diet containing all essential nutrients will help gain strengthen immune system and help early everyone this helps you solve your jury Take care. Wish him fast recovery Don't hesitate for next query if any"
Hi During my first pdelivery 3 years back I was diagonised with cholestesis (heavy itching in the 9th month) and hence had an C section..I remember my doc saying then that I need to take care when I take any birth control tablet. I would like to take an ipill today as I do not want to be pregnant..Is it safe for me to take it ? I am 31 years old 5 feet 2 inches and weighing around 65 kgs,"If you are a doctor, please answer the medical questions based on the patient's description.","HiCholestasis effect is due to the hormone estrogen. That is why your doctor rightly advised against using birth control tablets. When she said this she was talking with reference to birth control pills containing both estrogen and progesterone.The PILL contains progesterone only. So you can use I PILL without worrying about homeostasis. Moreover, the progesterone is washed off from your body in few days. If you wish to postpone pregnancy I advise you to discuss with your doctor and use regular contraception. I hope I have answered to your satisfaction."
my heart beat increases very often and i feel uncomfortable. i feel heaviness in my stomach. i also have a gastric problem i feel. because i feel soffcation in breathing and heart burning as well.  what could be the reason for heart beat increasing. recentlyi had my ECG done and it was normal. is this something which i have to be more cautious about?,"If you are a doctor, please answer the medical questions based on the patient's description.","Hello! Thank you for asking on Chat Doctor! I understand your concern, and would advise to rule out any possible triggering factors for fast heart beating, like anemia, thyroid gland dysfunction, other organ dysfunctions, etc. I recommend performing a medical check up with a careful physical examination, coupled with some blood tests (complete blood count, thyroid hormone levels, chest X-ray study, liver and renal function tests, etc.). If any suspicions for abnormally high heart rate is raised by the above examination, then an ambulatory ECG monitoring would be advisable.  If everything result OK by the above tests, and only normal sinus tachycardia is present, then an investigation towards diagnosis of anxiety should be sought. Hope to have been helpful to you. Greetings!"
"I took my friend to the hospital emergency room about 4 days ago because of abdominal pain.  Her lipase level was 900.  She admits to drinking at least 6 beers every night.  She has also had stomach ulcers in the past.  The Dr in the hospital told her she needed to quit drinking as the high lipase levels were likely a result of excessive drinking.   Yesterday, her primary care Dr took blood tests again and said that all levels are normal but did not specifically mention lipase.  He thinks its her ulcer returning.  How do we tell whether its pancriititis or an ulcer.  She of course thinks its an ulcer.  Im concerned about her drinking.","If you are a doctor, please answer the medical questions based on the patient's description.","Hi ! Good morning. I am Chat Doctor answering your query. One fact is sure which you should specifically counsel your friend is to leave alcohol totally, as irrespective of whether it is pancreatitis or a gastric ulcer, alcohol is detrimental and the cause of both these conditions. The pain could have been due to pancreatitis de Nova or the gastric ulcer penetrating the posterior wall of the stomach to make the pancreas inflamed resulting in pancreatitis. In both the cases the serum amylase, and lipase could be increased along with alcoholism. However, high levels like a lipase of 900 points more towards a pancreatitis. If I were your doctor, after her condition is stabilized in the hospital, I would refer her to a gastroenterologist for a possible endoscopic evaluation of her old gastric ulcer. And I would also ask her for an absolute NO to alcohol to prevent further damage to the pancreas which sometimes results in very poor prognosis. She should continue with her treatment advised by the doctors of the hospital. I hope this information would help you in discussing with your family physician/treating doctor in further management of your problem. Please do not hesitate to ask in case of any further doubts. Thanks for choosing Chat Doctor to clear doubts on your health problems. Wishing you an early recovery. Chat Doctor."
My husband just recently had a psa test done. he is a 42 year old black male. his results came back with a score of 36..5 We have been having sex everyday for the last month twice a day. With oral sex and penis manipulation. Will this cause levels this high. No other symptoms as well. Will repeat test on friday with orders of no ejaculations Concerned wife,"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Thanks for writing in. The PSA level is an indicator for possibility of prostate cancer. However, there are additional reasons for having an elevated PSA level, and some men who have prostate cancer do not have elevated PSA. It can be elevated in conditions like infection of the prostate. Repeating the test is necessary for your husband. Most men with an elevated PSA level turn out not to have prostate cancer; only about 25 percent of men who have a prostate biopsy due to an elevated PSA level actually have prostate cancer."
"I am a 78 year old man, I have COPD, CHF and a multitude of other issues. I take up to 3 lasix daily and use lactolose and prune juice to regulate my bowels because I am on a 75mg Duragesic patch and supplement Oxycodone for pain from back surgery which cause severe constipation. I am in a wheelchair but able to ambulate to and from a sitting position. I am experiencing a number of new symptoms such as muscle weakness, hot forehead, overwhelming weakness to the point where I cannot get out of my chair, lethargy, and weight gain. My urine flow has greatly decreased even with the increased dosage of lasix. I have very hard stools which end up with severe diarhea. I am concerned about my electrolyte balance. Could any of my new symptoms be caused by and electrolyte balance? I am under the care of a cardiologists and multiple other specialist but haven t talked to them about these new symptoms.","If you are a doctor, please answer the medical questions based on the patient's description.","Thanks for your question on Chat Doctor. I can understand your situation and problem. Yes, you are right about electrolyte disturbance as a cause for your new symptoms. Your symptoms like lethargy, muscle pain and weakness are mostly due to low sodium (hyponatremia) and low potassium (hypokalemia). So better to get done sodium and potassium level. The reason for this is mostly decreased urine output. This causes fluid retention. This fluid retention causes delusional hyponatremia and hypokalemia. It also causes weight gain. So better to consult nephrologist for electrolyte disturbance and decrease urine output. Hope I have solved your query. I will be happy to help you further. Wish you good health. Thanks."
"Hello, My name is Carla and i am 18 years old. I was experiencing very bad headaches and my entire left side of my body would go numb including my face, fingers, arm, leg, and even toes. I also wouldn t be able to see out of my left side. My doctor had me have an MRI done and the results were that","If you are a doctor, please answer the medical questions based on the patient's description.","Hello, Thanks for the query, I understand your problem Based upon the data that you have provided, I feel that you may have 1. Migraine 2. Sensory seizures 3. Rare possibility of desalinating disease. In order to confirm the diagnosis, you would require a detailed neurological evaluation which include the clinical interview to clarify what exactly happens to you during this period and this is the crucial step to clinch the diagnosis. In view of clear one-sided numbness, I wish I would have seen your MRI.  Your further evaluation may require EEG (A test which maps the brain functions and helps rule out seizures) and/or lumbar puncture. I urge you to get re evaluated by a local neurologist. If your investigations do not yield anything, I think that you may benefit with anti-migraine treatment.  Best wishes Chat Doctor. Chat Doctor .com/doctors/"
Sometimes get squeezing pain on the left side of the chest which lasts for few seconds..then after an hour or so comes back again. Also from past 2 weeks i have pain on the left side of the ribcage that is i think the place surrounding the lungs..Applied ointment (volini) and have taken pain killer but still the pain is still there..On right side its a bit less.,"If you are a doctor, please answer the medical questions based on the patient's description.","Thanks for your question on Chat Doctor. I can understand your concern. By your history and description, possibility of musculoskeletal pain is more likely. But better to first rule out heart diseases as it is left sided chest discomfort. So get done ECG and 2d echo. If these are normal then no need to worry about heart diseases. Avoid heavyweight lifting and strenuous exercise. Avoid movements causing pain. Avoid sudden jerky movements of chest. Apply warm water pad on affected areas. Take painkiller and muscle relaxant Chat Doctor. Don't worry, you will be alright with all these in 4-5 days. Hope I have solved your query. I will be happy to help you further. Wish you good health. Thanks."
"i have endo. i was due for my preiod on the 21st of sept , skipped 8 days, positive pregnancy test.. heavy 2 day period. stopped. started bleeding again oct 9 and still am. its light, some brown spotting, now its like orangy in color.. back to brown and orange, with dischargge.. are there problems? or am i synching with my roomate who is on her period?","If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Chat Doctor.  I welcome you to Chat Doctor VIRTUAL CLINIC. I have gone through your question, and I think I have understood your concern. Furthermore, I will suggest you the best possible treatment options. As your pregnancy test is positive, and you are having bleeding or brown discharge, it needs to be investigated properly. I will suggest you to get USG done.  This will help to know exact gestational age of the pregnancy and viability of the pregnancy. It can be due to Bleeding around the pregnancy sac. Alsager, it will help to rule out serious condition like ectopic pregnancy. Till that time take rest. Tab Pause 500 mg 3 times a day till bleeding or discharge stops. I hope this answer helps you. Thanks"
"I am a hyper patient and recently found that I am short of breath if i climb stairs or even walk fast. There is a history of heart disease in the family.  Recently with one of my ECGs, the doctor said that maybe the arteries arte narrowing and I must go in for a full heart check up and then maybe an angiography.  Is it something serious?","If you are a doctor, please answer the medical questions based on the patient's description.","Welcome and thank you for asking on Chat Doctor! I have gone through you question carefully. As you have a family history of heart disease and shortness of breath on exertion with (probably) an abnormal ECG you must undergo a heart check up (recommended). If everything comes out to be normal you have reason to celebrate and it would allay you anxiety as well Hope you will find this answer helpful! Wishing all the best,"
"My daughter is 32 this year and has found a hard lump in her breast near the nipple which is causing her pain ,she has lost weight but appetite she said is good ! she has had very loose stools on a regular basis to the point of being watery , and only recently found a lump in her neck near the glands we are very worried ,she cannot get an appointment with her doctor till monday can you help","If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Dear thanks for the query to Chat Doctor virtual clinic. I studied your query in full details updated from you. I understood your health concerns. Based on your query data, In my opinion, You should not worry and do as follows-Get the Surgical opinion soon. Get FNAC biopsy of the Breast Hard Lump(Mostly-Fibroadenoma-Mouse lump)and of the Neck Lump. Get CT study of the Breast and Neck lump. If things suggest, that these lumps are non-malignant forget till that time. If cancer comes positive-a remote possibility in your case / by your age/, Dont worry till You get these reports. Hope this would resolve your query and worry. Welcome for any further query in this regard to ME. I would love to help you outwriting for any further query. Wish you fast recovery from this intriguing health problem. Have a Good Day. Chat Doctor. N.M.S. Genl-CVTS -Senior Surgical Consultant"
I had a hip replacement 12/2012. I felt it move out of place the following Sept. I have been complaining of increasing pain since. I was finally diagnosed with a loosening prosthesis last week. Why did it take so long to diagnose and why isn t it an emergency to fix?,"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, I have studied your case. PET scan will be useful now to establish the nature of pathology. You need to find reason for loosening after the total hip replacement surgery, I suggest you to consult another Orthopedic surgeon (preferably a Joint replacement surgeon who has not done your surgery) for a detailed examination, workup and further management depending upon the nature of pathology. Yes it's not emergency, you need to find cause and then treat it proper planning and proper choice of prosthesis. Hope this answers your query. If you have additional questions or follow-up queries then please do not hesitate in writing to us. I will be happy to answer your queries. Wishing you good health. Take care."
i had been having numbness in my legs so I seen an nuerlogist and he ordered an mri. i had that procedure yesterday but since I went to dr ive been having really bad muscle spasms all over including hands and feet plus my hands and feet feel that they have been put on ice. I just looked at my back with a mirror and i see several small bruised lumps running up my spine I am having trouble walking because my legs are heavy I am very scared at this point.,"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, I read carefully your query and understand your concern. The symptoms seem to be related to muscle spasms. I suggest using a muscle relaxant such as Baclofen three times a day. I also suggest using magnesium supplements for muscle relaxation. Furthermore, I recommend warm compresses for local application. Hope my answer was helpful. If you have further queries feel free to contact me again. Kind regards!  Chat Doctor."
"Hi DR, I need to know what is Effexor half-life and detection time. I m extremely well informed on neurotransmitters and hormones, so, consider you talk to someone who will understand your answer thoroughly. This is urgent for me to have an answer. Thank you very much Gpaltrow","If you are a doctor, please answer the medical questions based on the patient's description.","Hello, Thanks for choosing Chat Doctor for posting your query. I have gone through your question in detail and I can understand what you are going through. Effexors half-life is only 4 hours. Its primary metabolite, O-desmethylvenlafaxine, has a half-life of 10 hours. Its elimination time is 10-16 hours. Now there are some extended release preparations available which have a higher half life. Hope I am able to answer your concerns. If you have any further query, I would be glad to help you. In future if you wish to contact me directly, or want to know any further details about your query, you can use the below-mentioned link"
hii i am ritesh from chennai. i started chewing tobacco around 1 year back and i daily chew around 5 packets in the period of 7pm to 1am . today when i woke up my mouth is not completly opening and muscles inside mouth are paining when i am opening my mouth,"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, Welcome Thanks for consulting Chat Doctor, I have gone through your query, as you have habit of chewing tobacco since one year now you have pain in opening mouth it can be due formation of fibrous bands due to keratinization. Firstly you should quit you chewing habit. Apply ointment on buccal mucosa Triamcinolone acetone twice daily for 5\u00a0days Take one capsule vitamin A once daily for 5 days Consult dentist for Oral examination. Hope this will help you."
I injured my shoulder last year sometime. It could have been an accumulation of events. I run outside during the winter & have fallen on pavement a few times on my right shoulder. I feel a dull pain when I sleep on my right shoulder. That comes an goes. I also feel a muscle tenderness on the back side of my arm. I tried to shoot a layup today & I had to stop because it felt like my shoulder popped out of place. could this be a rotator cuff injury or is it another type? When it happened last fall I reduced my running and did some excerises but not enough,"If you are a doctor, please answer the medical questions based on the patient's description.","Respected sir, I have understood your concern see recurrent injury to shoulder joint may decrease stability of joint already shoulder joint is less stable joint and muscle weakness also contribute to pain in shoulder joint. See recurrent injury is due to less stability and laxity of capsule and ligaments around the joint. You can take 15\u00a0day physical therapy treatment which includes ultrasound and IT modalities for pain relief. Gradually starting with pendulum exercises and don't stretch the joint. You need to strengthen the scapular muscles which are back muscles so physical therapists will help you to do that. I hope you have satisfied with the answer."
"Hi Doc! I m Jerald, 24, and my concern regards from my last test from a HBsAg reactive recently. Seven(7) years ago I undergone the same test and I m a non-reactive result. Do I have a chance to make it a non-reactive once again? Is there any ways(lifestyle changes) or medications that can resolve my issue? Thank you very much Sir and I appreciated your response toward my condition. God bless!","If you are a doctor, please answer the medical questions based on the patient's description.","Hello, a positive Bag suggests hepatitis B. Unfortunately hepatitis B cannot be treated with anything else besides medications. The rest of hepatitis B indices are important for the diagnosis (acute versus chronic hepatitis) and the liver function tests may provide additional information. Antics, Antiphon IGM & Egg, Head and Antique are useful tests to assess a patients' hepatitis B status. ALT, AST, ALP, gamma-GT, albumin and total protein and serum immunoglobulins are also important tests in hepatitis. Finally, depending on the results of the aforementioned tests, an HAVANA measurement may help in treatment decisions. You should consult your primary care physician for the first assessment. I hope I've answered your question. Please let me know if you need further assistance. Kind Chat Doctor."
"HiThis is Manoj.I have been suffering from severe Asthma since last 3 years.I have consulted several Doctors, Homeopathic Consultants and Ayurvedic Doctors, but got no good results so far. My present condition is going worsen day by day. Please let me know how to get relief from this.","If you are a doctor, please answer the medical questions based on the patient's description.","HI, thanks for using Chat Doctor Asthma symptoms occur when the airways close down making it difficulty to breath. The symptoms of an asthmatic attack are cough, shortness of breath, chest pain and wheezing.Nighttime coughing indicate the asthma is not in control. There are different triggers for asthma such as infections, dust and other allergies, post nasal Chat Doctor.  The preventer would reduce the inflammation in your chest and reduce the chance of an attack occurring. The reliever would help you when an attack occurs. The preventer should be continued, though the dose may vary sometimes depending on how well you are. Since you have seen many doctors, you may want to consider a pulmonologist (lung specialist) that would help you get in control. I hope this helps"
"HI, I am suffering from bad breath from loast 2 to 3 years. NOw a days its too horrible. I consulted few doctors in Bangalore, but there is not much difference. Can you please suggest me any good hospitals in Bangalore, where i can get the tratment.Thanks in Advance.","If you are a doctor, please answer the medical questions based on the patient's description.","Thanks for your query, I have gone through your query. The bad breath could be because of the gum infection secondary to deposits or any pus discharge. It can also occur in respiratory tract infection or gastrointestinal disorder and fissure tongue. You have to consult an oral physician and get yourself examined to rule out the above said conditions. If it is gum infection then get your teeth cleaned and maintain oral hygiene, you can use mouth wash. If it is respiratory or gastrointestinal problem then you have to get treated for it. You can go to"
"I have the following symptoms but my doctor just ignores them and not doing anything about it. Can anybody help please?Ovarian cyst of 4 cm, Constant severe bloating, pelvic and abdominal pain especially after been physically active, really struggle to eat as I no appetite and feel real full really quickly, always tired, severe indigestion all the time, problems with my bladder to the extend I struggle with control, severe lower back pain. I really cannot handle this anymore","If you are a doctor, please answer the medical questions based on the patient's description.","HIT hank for asking to ChatDoctorI really appreciate your concern, If I would be your doctor then I would surely treat you with the course of antibiotic because such symptoms may be due to the protozoal infection and in such situation I'm usually treating my patient with the Metronidazole 400 mg twice in day for 7 days and get good result, here in your case I would also start \""Dicyclomine with Acetaminophen tab. Three times in day and \""Chlorodiazepoxide\"" three times in day this will surely relieve your problems, have nice day."
"do tonsils disappear on their own ? I have a swollen left gland in the jaw area. And a canker sore in my bottom inside mouth for a week now. I looked at the throat tonight and my tonsils are not there, throat red but not swollen. I did have very large tonsils so you could see them .","If you are a doctor, please answer the medical questions based on the patient's description.","A canker sore can be triggered due to high stress, long periods of acid reflux disease or just some tooth edge trauma. If you have a fever with a swollen lymph node then it is an indication for active infection. Otherwise, sometimes a swollen lymph node is just the body fighting off some insect bite on the area of Chat Doctor.  If your tonsils are painful, or you have difficulty swallowing then you should see a doctor who would examine you and take appropriate action like putting you on antibiotics. Otherwise, you can wait it out and let the tonsils recede on its own.  Thank you for your query"
Hi  I m 29  yrs old and I m suffering from jaundice from last 20 days.i m also having itching in whole body and it get worse when I try to sleep in night or afternoon.at night its gettting worse.due to this I cant get sleep at nite and sleep in morning after exhausted. Please sugget me a treatment and diet for fast  recovery.billiburin level is 3.29,"If you are a doctor, please answer the medical questions based on the patient's description.","Hi there thanks for posting your query at Chat Doctor Dear first get yourself evaluated completely by a good gastroenterologist to rule out the cause of jaundice. Jaundice could be due to multiple reasons.  There could be infectious reasons. That are typhoid, but you must have swinging type of fever with that or of viral origin like in hepatitis etc. And then only we can give specific treatment. Now I tell there are certain herbal preparation to help improve the activity of the liver. They are Limoges, A compound named silymarin comes as 70\u00a0mg or 140 mg help improve the liver function test and decrease the level of free bilirubin in the blood, In the diet you must avoid fried stuff. Eat of fresh fruits and vegetables . Radish is of great help. Eat milk in the form of curd or yogurt.  Try to avoid food with lots of calories putting extra load on the liver. Chat Doctor."
"My son had a sports physical and the doctor said, your testes are smaller than other kids your age.  He is 17.  My son did not ask, and this doctor in my opinion was very wrong to say this unless sure.  Can doctors tell very quickly if testes are so small that need testng","If you are a doctor, please answer the medical questions based on the patient's description.","Hittites size varies among individuals. It is not the size but whether it functions properly or not that matters. The testis produces sperms as well as hormones. Hormone function is tested by blood tests and sperm function by semen analysis. Asking your son to get these tests done might be too traumatic mentally for him if he has not got any symptoms.Hence, I would not advise you these tests now. If you are still worried then you can get an ultrasound of the testis done that will rule out any major problem with testicles but not confirm whether it is a small testicle or not."
"Hello doctor, im from burdwan,Westbengal.Im worried about my mother.she is expressing something  with which we can not find any  link.my mother was a patient of acute mental disorder.she had been suffering since 1994. Our grandparents admitted her in a asylum in 1995.after a year treatmnt she got well.since then she was allright.But now all the past symtoms are coming back.a doctor prescribed shicalm plus 5 and my mother is taking it from two weeks.but still now she is telling those absurd  stories.doctor does the medicine allright for her?or should i consult another one?","If you are a doctor, please answer the medical questions based on the patient's description.","HiT hanks for using Chat Doctor Shi calm consists of Trifluoperazine andTrihexyphenidyl HY Chat Doctor.  Trifluoperazine is a typical antipsychotic and help in controlling psychotic symptoms. Antipsychotics take two weeks to show response and right now she is at basic dose. In that case, just wait for few more days for the response. With time by escalation of dose, she would definitely improve. There is no need to change"
sir my father is suffering from paralysis from past 4 months .His left part is effected .He is able to walk but slowly and he is having a small movement in his left hand. Is there any treatement so that he could recover fast.He is unable to his work on his own since his hand is not supporting.please give me a suggestion so that he could recover fastlyThank You,"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, I understand your concern for your father.1) Firstly since he has had a stroke earlier, you have to very cautious regarding the treatment. The blood pressure has to be in control. Make a chart of BP findings with date and time. Show this to your physician regularly.2) You need to make him follow a strict less salt or low sodium salt diet. Reduce oily foods.3) Since he is already paralyzed, regular physiotherapy sessions have to be taken to improve as much as possible. It is both time taking and painful, but you should do it. This will improve the functions of limbs to much extend.4) Protect him from bed sore by making him sleep on air beds, massage body regularly and apply Newsprint powder on lesions on her body if any. 5) Encourage him to do regular movement of body to improve his condition.6) Take prescribed medications without fail and have regular checkup done. You are a loving kid of your father, take good care of him. Hope I helped you with the suggestions. Let me know if I can assist you further. Best regards,"
"Hi, Im 25 years old and am loosing hair rapidly, specialy towards the front of my head. Ive been taking a lot of vitamins D,B,A,Iron, a good multiple, but Im still loosing hair. I want to have tests done and get a definet dianoses. I want to have my hormones checked out, and also to get a biopsy done on my scalp, to rule out any kind of fungus. Do I need to contact a hair specialist or can I go to any doctor for the scalp biopsy?","If you are a doctor, please answer the medical questions based on the patient's description.","Hi Dear, Understanding your concern. As per your query you have symptoms of hair loss known as alopecia problem which can occur due to genetic factor, fungal infection, covering head with cap and hormonal changes. Stress is additional factor to your condition. Need not worry. I would suggest you to consult dermatologist for proper examination. Doctor may order skin patch test, blood test and physical examination. Doctor may prescribe you Chat Doctor.  Wait for scalp biopsy. You should start taking supplements like vitamin A, Omega-3 and vitamin E. Take Indian gooseberry powder (half spoon) with water once a day and use almond oil. Hope your concern has been resolved. Best Wishes,"
"I have had numerous surgeries to my abdomen a hystercotomy, my appendix removed my gall bladder removed, about 2 ft of intestine remove. part of my stomach removed they have to go in and stretch my stomach right now I am on nausua meds, protonix, gabapentin, anxiety and depression pills. on a good day I may throw up just a few times a day, on the bad days its bad they say I have a ton of scar tissue and that my body is responding to the pain by throwing up, how can I manage to have a better quality of life","If you are a doctor, please answer the medical questions based on the patient's description.","Hello may be excused if I start wondering what is actually wrong with you? I may be of help as I have treated Hun Chat Doctor.  They actually had root of the problem in mind, not in body, so had to undergo repeated surgeries, some of whom might have been unnecessary in hindsight. I request you to screen your self in Hamilton's Anxiety Rating Scale and Yale Brown Obsessive Compulsive Scale. If you score significantly, you may actually not require a surgery but appropriate medicines only."
